started_bargaining,got_contract,got_strong_protections,sav,strike,strike_days,source,state,institution,recognition_date,esti_num_workers,union_affiliation,source_of_estimate,
1,1,1,1,0,0,,California,California State University System,2004,"10,000",UAW Local 4123,https://www.uaw4123.org/,
1,1,1,1,1,21,https://www.chicagotribune.com/news/breaking/ct-met-university-of-illinois-at-chicago-strike-agreement-20190405-story.html,Illinois,University of Illinois at Chicago,2004,"1,500","Illinois Federation of Teachers, AFT, AFL-CIO",http://uic-geo.net/mainsite/?p=1244,
1,1,1,1,1,1,https://www.seattletimes.com/seattle-news/uw-grad-student-workers-ok-contract/,Washington,U. of Washington,2004,"4,500",UAW Local 4121,http://www.uaw4121.org/,
1,1,0,0,0,0,I messaged them on Facebook :P,Florida,Florida State University,2009,"3,000",UFF/FEA/NEA/AFT Local 7463,,
1,1,0,0,0,0,https://www.cmich.edu/office_provost/academic_administration/FPS/Documents/GSU%20Agreement%202016-2021%20Final%20Web%20Copy.pdf,Michigan,Central Michigan University,2009,450,AFT,https://www.facebook.com/pg/CMUGSU/about/?ref=page_internal,
1,1,0,0,0,0,http://www.msugeo.org/storage/documents/BargainingCommitteeStatement.pdf,Montana,Montana State University,2012,600,AFT,,
1,1,1,0,0,0,https://today.uconn.edu/2018/04/uconn-reaches-tentative-agreement-graduate-employee-union/,Connecticut,University of Conneticut,2014,"2,100",UAW,Personal conversation 05/2017,
0,,,,,,,Connecticut,Yale,2016,313,UNITE HERE,,
1,0,,,,,,New York,Columbia,2016,"3,500",UAW,Personal conversation 05/2017,
1,1,0,0,0,0,,Massachusetts,Brandeis,2017,220,SEIU,Personal conversation 05/2017,
0,,,,,,,Illinois,Loyola University Chicago,2017,212,SEIU,http://www.chicagotribune.com/business/ct-loyola-grad-students-union-vote-0209-biz-20170208-story.html,
1,1,0,0,0,0,,Washington D.C.,American University,2017,761,SEIU,https://www.insidehighered.com/quicktakes/2017/04/11/american-u-grad-students-unionize,
1,1,0,0,0,0,,Massachusetts,Tufts University,2017,260,SEIU,https://www.insidehighered.com/quicktakes/2017/05/19/tufts-grad-students-form-union,
1,1,1,1,1,7,https://sensuaw.org/history/strike-2/,New York,The New School,2017,900,UAW,http://www.sensuaw.org/,
0,,,,,,,Massachusetts,Boston College,2017,,UAW,http://bcgradunion.com/,
0,,,,,,,Illinois,University of Chicago,2017,2000,AFT/AAUP,https://uchicagogsu.org/,
1,0,,,,,,Massachusetts,Harvard University,2018,5050,UAW,http://hgsuuaw.org/,
1,0,,,,,http://www.wearegage.org/bargaining-committee,Washington D.C.,Georgetown University,2018,1100,AFT,http://www.thehoya.com/hundreds-vote-graduate-union-election/,
1,0,,,,,https://brownsugse.com/,Rhode Island,Brown University,2018,1250,AFT,https://brownsugse.com/,
